# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416390238;26536.47;3.52;-25775.49
axle;60;1416390298;-9601.19;0.30;9620.51
axle;60;1416390358;-109.57;0.58;103.21
axle;60;1416390418;85.58;0.80;115.87
axle;60;1416390478;-135.73;1.39;142.31
axle;59;1416390538;-34401.70;14.87;382.17
axle;60;1416390598;2480.79;0.17;14.39
axle;60;1416390658;13692.78;0.17;6.87
axle;60;1416390718;-5.20;0.12;6.06
axle;60;1416390778;3845.19;0.13;8.75
axle;60;1416390838;-26214.11;0.15;31.42
axle;60;1416390898;22359.37;0.13;8.26
