ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416391551.52787,template1,0,0,0,0,0,0,0,0,0,0
1416391551.52787,template0,0,0,0,0,0,0,0,0,0,0
1416391551.52787,postgres,0,1250,13,8434,72509,577551,30558,0,0,0
1416391551.52787,dbt3,17,47471,0,2051071269,14806370519,114279978802,22042335450,1143008226,8415,14493159
1416391611.5438,template1,0,0,0,0,0,0,0,0,0,0
1416391611.5438,template0,0,0,0,0,0,0,0,0,0,0
1416391611.5438,postgres,0,1252,13,8462,72539,578477,30569,0,0,0
1416391611.5438,dbt3,17,48349,0,2060069905,14894080079,114851016779,22278229463,1143098837,8470,14568485
1416391671.53847,template1,0,0,0,0,0,0,0,0,0,0
1416391671.53847,template0,0,0,0,0,0,0,0,0,0,0
1416391671.53847,postgres,0,1254,13,8490,72569,579403,30580,0,0,0
1416391671.53847,dbt3,17,48639,0,2078243542,14991285598,115955328471,22440254292,1143263432,8588,14643284
1416391731.57959,template1,0,0,0,0,0,0,0,0,0,0
1416391731.57959,template0,0,0,0,0,0,0,0,0,0,0
1416391731.57959,postgres,0,1256,13,8518,72599,580329,30591,0,0,0
1416391731.57959,dbt3,17,48837,0,2091548666,15078446960,116629261864,22562160358,1143353922,8621,14717826
1416391791.58068,template1,0,0,0,0,0,0,0,0,0,0
1416391791.58068,template0,0,0,0,0,0,0,0,0,0,0
1416391791.58068,postgres,0,1258,13,8546,72629,581255,30602,0,0,0
1416391791.58068,dbt3,17,49070,0,2109760884,15218847499,117611615790,22692878337,1143443527,8660,14792789
1416391851.588,template1,0,0,0,0,0,0,0,0,0,0
1416391851.588,template0,0,0,0,0,0,0,0,0,0,0
1416391851.588,postgres,0,1260,13,8574,72659,582181,30613,0,0,0
1416391851.588,dbt3,19,49318,0,2121743971,15271225159,118195299002,22792620024,1143548243,8702,14943384
1416391911.5898,template1,0,0,0,0,0,0,0,0,0,0
1416391911.5898,template0,0,0,0,0,0,0,0,0,0,0
1416391911.5898,postgres,0,1262,13,8602,72689,583107,30624,0,0,0
1416391911.5898,dbt3,20,49572,0,2142885336,15464483526,119297666104,22990858994,1143712636,8743,15018564
1416391971.63007,template1,0,0,0,0,0,0,0,0,0,0
1416391971.63007,template0,0,0,0,0,0,0,0,0,0,0
1416391971.63007,postgres,0,1264,13,8630,72719,584033,30635,0,0,0
1416391971.63007,dbt3,18,49802,0,2156473302,15572041571,119830818601,23197342513,1143802961,8783,15093759
1416392031.63049,template1,0,0,0,0,0,0,0,0,0,0
1416392031.63049,template0,0,0,0,0,0,0,0,0,0,0
1416392031.63049,postgres,0,1266,13,8658,72749,584959,30646,0,0,0
1416392031.63049,dbt3,15,50047,0,2171863459,15722028464,120581242016,23442566739,1143893508,8822,15168571
1416392091.60481,template1,0,0,0,0,0,0,0,0,0,0
1416392091.60481,template0,0,0,0,0,0,0,0,0,0,0
1416392091.60481,postgres,0,1268,13,8686,72779,585885,30657,0,0,0
1416392091.60481,dbt3,6,50325,0,2191142093,15863757723,121710216691,23642358882,1143998799,8908,15318848
1416392151.60648,template1,0,0,0,0,0,0,0,0,0,0
1416392151.60648,template0,0,0,0,0,0,0,0,0,0,0
1416392151.60648,postgres,0,1270,13,8686,72837,586811,30668,0,0,0
1416392151.60648,dbt3,4,50364,0,2192142121,15867296683,121785331135,23642362105,1144163763,8912,15393627
1416392211.60798,template1,0,0,0,0,0,0,0,0,0,0
1416392211.60798,template0,0,0,0,0,0,0,0,0,0,0
1416392211.60798,postgres,0,1272,13,8686,72895,587737,30679,0,0,0
1416392211.60798,dbt3,3,50392,0,2192953001,15869460758,121860443816,23642364794,1144253603,8915,15468704
